HahaScaling (Scaling Vectors):
-1.393242 -3.765186 -1.297631
-0.8690621 -1.675288 -1.415901
-1.0951 -2.745781 -1.083317
-1.863083 -3.001065 -1.137968
-1.945561 -2.064849 -1.457956
0.5962262 -2.857209 -0.5849125
-0.5344307 -2.147419 -1.705293
-1.808456 -2.775423 0.1542093
-1.185609 -2.278892 -0.07675137
-0.7871075 -2.345435 -1.709872
-1.189256 -2.111678 -0.6360114
-1.226207 -2.49708 -1.644186
-0.8632073 -2.577109 -1.010665
-0.7511198 -1.268402 -0.09708513
-1.034254 -2.194446 -0.7665825
-0.7143202 -2.755338 -1.626008
-1.801635 -3.462032 -2.076335
-0.7710994 -3.782533 -2.125055
-1.436792 -3.560651 -0.964934
-0.6295136 -2.670067 -1.266361
-1.646017 -3.079881 -1.428935
-1.602495 -2.97346 -1.673066
-1.344426 -2.561442 -0.2503994
-1.114 -3.226509 -1.074882
-2.002171 -1.956383 -0.0374189
-0.1313874 -2.432141 -0.6958573
0.3729197 -2.233136 -1.078633
-0.8323717 -1.894042 -0.2803621
-1.432984 -3.452059 -1.378145
-1.080878 -2.991863 -0.8824455
-0.9067299 -1.382404 -0.8087658
-1.852643 -4.279484 -0.3545346
-0.7286297 -1.582139 -0.6368429
-1.774478 -2.043336 -0.9549765
-2.731272 -3.91502 -1.873687
-1.7164 -3.832771 -1.70835
-0.7890455 -3.390699 0.642024
